日付,曜日,駅,定期（通勤）,定期（通学）,IC大人,IC小児,,,
2019/6/21,金,三宮,14404,6367,20748,42,,,
2019/6/21,金,西神中央,6500,2935,7497,22,,,
2019/6/22,土,三宮,6866,3785,18849,76,,,
2019/6/22,土,西神中央,2500,1725,4851,46,,,
2019/6/23,日,三宮,5395,2635,16773,110,,,
2019/6/23,日,西神中央,1791,1161,4034,19,,,
2019/6/24,月,三宮,14445,6404,16398,35,,,
2019/6/24,月,西神中央,6569,2845,6581,25,,,
2019/6/25,火,三宮,14566,6619,18158,22,,,
2019/6/25,火,西神中央,6623,2945,6850,36,,,
2019/6/26,水,三宮,14306,6473,17996,33,,,
2019/6/26,水,西神中央,6469,2941,6729,20,,,
2019/6/27,木,三宮,14356,6363,16884,47,,,
2019/6/27,木,西神中央,6451,2856,5974,32,,,
2019/6/28,金,三宮,14477,6272,19820,64,,,
2019/6/28,金,西神中央,6488,2872,7115,17,,,
2019/6/29,土,三宮,6865,3192,17589,101,,,
2019/6/29,土,西神中央,2483,1669,4611,32,,,
2019/6/30,日,三宮,4990,2022,12357,66,,,
2019/6/30,日,西神中央,1694,726,3077,27,,,
2019/7/1,月,三宮,14662,6483,15365,30,,,
2019/7/1,月,西神中央,6643,2867,6082,26,,,
2019/7/2,火,三宮,14605,6631,16201,29,,,
2019/7/2,火,西神中央,6686,2943,6438,39,,,
2019/7/3,水,三宮,14484,6455,16091,13,,,
2019/7/3,水,西神中央,6576,2894,6510,22,,,
2019/7/4,木,三宮,14740,6628,17447,32,,,
2019/7/4,木,西神中央,6660,2986,6669,35,,,
2019/7/5,金,三宮,14571,6494,21675,78,,,
2019/7/5,金,西神中央,6545,2982,7424,28,,,
2019/7/6,土,三宮,6820,3525,21855,85,,,
2019/7/6,土,西神中央,2544,1343,5095,45,,,
2019/7/7,日,三宮,5355,2319,17415,180,,,
2019/7/7,日,西神中央,1787,901,4041,32,,,
2019/7/8,月,三宮,14521,6387,16735,33,,,
2019/7/8,月,西神中央,6525,2715,6800,25,,,
2019/7/9,火,三宮,14536,6477,17656,22,,,
2019/7/9,火,西神中央,6587,2859,6915,38,,,
2019/7/10,水,三宮,14329,6023,18285,32,,,
2019/7/10,水,西神中央,6457,2630,7077,25,,,
2019/7/11,木,三宮,14553,6169,18200,28,,,
2019/7/11,木,西神中央,6494,2750,6638,28,,,
2019/7/12,金,三宮,14506,6169,21624,46,,,
2019/7/12,金,西神中央,6396,2580,7633,27,,,
2019/7/13,土,三宮,6703,3549,20018,62,,,
2019/7/13,土,西神中央,2439,1706,4895,35,,,
2019/7/14,日,三宮,5451,2506,17440,106,,,
2019/7/14,日,西神中央,1917,1156,3997,36,,,
2019/7/15,祝,三宮,5504,4111,15010,36,,,
2019/7/15,祝,西神中央,1908,1500,3958,20,,,
2019/7/16,火,三宮,14459,5944,17447,36,,,
2019/7/16,火,西神中央,6389,2569,6902,34,,,
2019/7/17,水,三宮,14423,5981,18506,45,,,
2019/7/17,水,西神中央,6405,2635,7037,26,,,
2019/7/18,木,三宮,14522,5686,17908,26,,,
2019/7/18,木,西神中央,6494,2551,6799,23,,,
2019/7/19,金,三宮,14580,5934,20233,75,,,
2019/7/19,金,西神中央,6386,2694,6990,25,,,
2019/7/20,土,三宮,7031,3135,17559,80,,,
